depth(m),vp(m/s),vs(m/s),density(kg/m^3),Qp,Qs
0,1500,0,1000,inf,inf
2,1500,0,1000,inf,inf
4,1500,0,1000,inf,inf
6,1500,0,1000,inf,inf
8,1500,0,1000,inf,inf
10,1500,0,1000,inf,inf
12,1500,0,1000,inf,inf
14,1500,0,1000,inf,inf
16,1500,0,1000,inf,inf
18,1500,0,1000,inf,inf
20,1500,0,1000,inf,inf
22,1500,0,1000,inf,inf
24,1500,0,1000,inf,inf
26,1500,0,1000,inf,inf
28,1500,0,1000,inf,inf
30,1500,0,1000,inf,inf
32,1500,0,1000,inf,inf
34,1500,0,1000,inf,inf
36,1500,0,1000,inf,inf
38,1500,0,1000,inf,inf
40,1500,0,1000,inf,inf
42,1500,0,1000,inf,inf
44,1500,0,1000,inf,inf
46,1500,0,1000,inf,inf
48,1500,0,1000,inf,inf
50,1667.027439,199.709478,1980.830803,49.9273695,19.9709478
52,1668.535996,205.958707,1981.278783,51.48967675,20.5958707
54,1670.062401,212.200139,1981.731755,53.05003475,21.2200139
56,1671.607035,218.43373,1982.18982,54.6084325,21.843373
58,1673.170163,224.659654,1982.653046,56.1649135,22.4659654
60,1674.751936,230.878342,1983.121468,57.7195855,23.0878342
62,1676.352395,237.090405,1983.595085,59.27260125,23.7090405
64,1677.971471,243.296262,1984.073868,60.8240655,24.3296262
66,1679.608991,249.496065,1984.557751,62.37401625,24.9496065
68,1681.264677,255.689718,1985.046643,63.9224295,25.5689718
70,1682.938146,261.876897,1985.54042,65.46922425,26.1876897
72,1684.628919,268.057071,1986.038928,67.01426775,26.8057071
74,1686.336413,274.229519,1986.541986,68.55737975,27.4229519
76,1688.059953,280.393346,1987.049383,70.0983365,28.0393346
78,1689.798769,286.547506,1987.560884,71.6368765,28.6547506
80,1691.552029,292.69083,1988.076235,73.1727075,29.269083
82,1693.318844,298.822053,1988.595165,74.70551325,29.8822053
84,1695.09827,304.939826,1989.117389,76.2349565,30.4939826
86,1696.889314,311.042733,1989.642607,77.76068325,31.1042733
88,1698.690932,317.129311,1990.170507,79.28232775,31.7129311
90,1700.502032,323.198068,1990.700762,80.799517,32.3198068
92,1702.32148,329.247511,1991.233034,82.31187775,32.9247511
94,1704.148094,335.276167,1991.766975,83.81904175,33.5276167
96,1705.980653,341.28263,1992.302222,85.3206575,34.128263
98,1707.817896,347.265598,1992.838404,86.8163995,34.7265598
100,1709.658521,353.223942,1993.37514,88.3059855,35.3223942
102,1711.501196,359.156704,1993.912039,89.789176,35.9156704
104,1713.344556,365.062858,1994.448704,91.2657145,36.5062858
106,1715.187226,370.941254,1994.984736,92.7353135,37.0941254
108,1717.027838,376.790623,1995.519739,94.19765575,37.6790623
110,1718.865086,382.609592,1996.053334,95.652398,38.2609592
112,1720.697811,388.396674,1996.58519,97.0991685,38.8396674
114,1722.525177,394.150249,1997.115068,98.53756225,39.4150249
116,1724.34698,399.868482,1997.642914,99.9671205,39.9868482
118,1726.164219,405.549159,1998.16902,101.3872898,40.5549159
120,1727.980086,411.189382,1998.694315,102.7973455,41.1189382
122,1729.801641,416.785085,1999.220839,104.1962713,41.6785085
124,1731.642352,422.330508,1999.752478,105.582627,42.2330508
126,1733.525249,427.818253,2000.295863,106.9545633,42.7818253
128,1735.484666,433.24207,2000.860861,108.3105175,43.324207
130,1737.560167,438.607757,2001.45881,109.6519393,43.8607757
132,1739.996127,442.710572,2002.159924,110.677643,44.2710572
134,1742.484558,446.651455,2002.875381,111.6628638,44.6651455
136,1745.022663,450.436497,2003.604331,112.6091243,45.0436497
138,1747.606508,454.068869,2004.345601,113.5172173,45.4068869
140,1750.231102,457.547347,2005.09772,114.3868368,45.7547347
142,1752.890473,460.86586,2005.858943,115.216465,46.086586
144,1755.577775,464.017478,2006.627281,116.0043695,46.4017478
146,1758.285395,466.995677,2007.400537,116.7489193,46.6995677
148,1761.005081,469.794485,2008.176341,117.4486213,46.9794485
150,1763.728085,472.408646,2008.952191,118.1021615,47.2408646
152,1766.446058,474.834389,2009.725712,118.7085973,47.4834389
154,1769.153726,477.071616,2010.495413,119.267904,47.7071616
156,1771.848753,479.123828,2011.260645,119.780957,47.9123828
158,1774.530884,480.997458,2012.021348,120.2493645,48.0997458
160,1777.200973,482.701097,2012.77778,120.6752743,48.2701097
162,1779.860357,484.244957,2013.530333,121.0612393,48.4244957
164,1782.510454,485.640455,2014.279419,121.4101138,48.5640455
166,1785.152482,486.899829,2015.025393,121.7249573,48.6899829
168,1787.787287,488.035768,2015.768503,122.008942,48.8035768
170,1790.415267,489.061017,2016.508871,122.2652543,48.9061017
172,1793.03637,489.987923,2017.24649,122.4969808,48.9987923
174,1795.650161,490.827902,2017.981247,122.7069755,49.0827902
176,1798.255935,491.59078,2018.712952,122.897695,49.159078
178,1800.852878,492.283977,2019.441386,123.0709943,49.2283977
180,1803.440247,492.911497,2020.166352,123.2278743,49.2911497
182,1806.017485,493.473839,2020.887704,123.3684598,49.3473839
184,1808.584093,493.971746,2021.605314,123.4929365,49.3971746
186,1811.13974,494.407423,2022.319101,123.6018558,49.4407423
188,1813.684439,494.784707,2023.02908,123.6961768,49.4784707
190,1816.218691,495.109183,2023.735402,123.7772958,49.5109183
192,1818.743587,495.38824,2024.438382,123.84706,49.538824
194,1821.260848,495.63104,2025.138507,123.90776,49.563104
196,1823.772796,495.848393,2025.836432,123.9620983,49.5848393
198,1826.282245,496.052501,2026.532944,124.0131253,49.6052501
200,1828.792281,496.256567,2027.2289,124.0641418,49.6256567
202,1831.305928,496.474234,2027.92514,124.1185585,49.6474234
204,1833.825681,496.718838,2028.622352,124.1797095,49.6718838
206,1836.352879,497.002438,2029.320903,124.2506095,49.7002438
208,1838.886899,497.334602,2030.020616,124.3336505,49.7334602
210,1841.424158,497.720918,2030.7205,124.4302295,49.7720918
212,1843.958291,498.163178,2031.418799,124.5407945,49.8163178
214,1846.484622,498.665565,2032.114233,124.6663913,49.8665565
216,1849.000826,499.235359,2032.806169,124.8088398,49.9235359
218,1851.506371,499.881901,2033.494474,124.9704753,49.9881901
220,1854.002066,500.615714,2034.179378,125.1539285,50.0615714
222,1856.489699,501.447781,2034.861382,125.3619453,50.1447781
224,1858.971771,502.388937,2035.541179,125.5972343,50.2388937
226,1861.451298,503.449388,2036.219599,125.862347,50.3449388
228,1863.931676,504.638325,2036.897575,126.1595813,50.4638325
230,1866.416593,505.963624,2037.576113,126.490906,50.5963624
232,1868.909822,507.431491,2038.256239,126.8578728,50.7431491
234,1871.414504,509.045757,2038.938806,127.2614393,50.9045757
236,1873.933,510.807658,2039.624446,127.7019145,51.0807658
238,1876.466919,512.715818,2040.313588,128.1789545,51.2715818
240,1879.017162,514.766296,2041.006466,128.691574,51.4766296
242,1881.583969,516.952679,2041.703132,129.2381698,51.6952679
244,1884.16695,519.26625,2042.403468,129.8165625,51.926625
246,1886.765105,521.696202,2043.107193,130.4240505,52.1696202
248,1889.376825,524.229925,2043.813859,131.0574813,52.4229925
250,1891.999858,526.853356,2044.52285,131.713339,52.6853356
252,1894.631227,529.551413,2045.233354,132.3878533,52.9551413
254,1897.267117,532.308502,2045.944336,133.0771255,53.2308502
256,1899.902685,535.109129,2046.654492,133.7772823,53.5109129
258,1902.531814,537.938605,2047.362177,134.4846513,53.7938605
260,1905.146783,540.783875,2048.065323,135.1959688,54.0783875
262,1907.738253,543.633919,2048.761436,135.9084798,54.3633919
264,1910.29661,546.478283,2049.44796,136.6195708,54.6478283
266,1912.812472,549.306763,2050.122408,137.3266908,54.9306763
268,1915.276852,552.109577,2050.78241,138.0273943,55.2109577
270,1917.681313,554.877517,2051.425751,138.7193793,55.4877517
272,1920.018603,557.602978,2052.050541,139.4007445,55.7602978
274,1922.284402,560.283072,2052.655675,140.070768,56.0283072
276,1924.477256,562.919351,2053.240819,140.7298378,56.2919351
278,1926.598081,565.516757,2053.806267,141.3791893,56.5516757
280,1928.649777,568.082758,2054.352839,142.0206895,56.8082758
282,1930.636921,570.626663,2054.8818,142.6566658,57.0626663
284,1932.565535,573.159081,2055.39479,143.2897703,57.3159081
286,1934.442901,575.691498,2055.89378,143.9228745,57.5691498
288,1936.277416,578.235955,2056.38103,144.5589888,57.8235955
290,1938.078464,580.804794,2056.859054,145.2011985,58.0804794
292,1939.856185,583.410296,2057.33056,145.852574,58.3410296
294,1941.620882,586.063817,2057.798292,146.5159543,58.6063817
296,1943.382748,588.775466,2058.264955,147.1938665,58.8775466
298,1945.151653,591.553948,2058.733163,147.888487,59.1553948
300,1946.93687,594.406378,2059.205366,148.6015945,59.4406378
302,1948.746714,597.338044,2059.683751,149.334511,59.7338044
304,1950.588086,600.352118,2060.170128,150.0880295,60.0352118
306,1952.465883,603.44926,2060.665771,150.862315,60.344926
308,1954.382271,606.627133,2061.171232,151.6567833,60.6627133
310,1956.335784,609.87978,2061.686103,152.469945,60.987978
312,1958.321085,613.197537,2062.208957,153.2993843,61.3197537
314,1960.331571,616.569227,2062.738039,154.1423068,61.6569227
316,1962.360217,619.982956,2063.271487,154.995739,61.9982956
318,1964.399699,623.426311,2063.807368,155.8565778,62.3426311
320,1966.442508,626.886575,2064.343705,156.7216438,62.6886575
322,1968.481076,630.350927,2064.878512,157.5877318,63.0350927
324,1970.507895,633.806653,2065.409825,158.4516633,63.3806653
326,1972.515641,637.241345,2065.935735,159.3103363,63.7241345
328,1974.497288,640.643105,2066.454414,160.1607763,64.0643105
330,1976.446234,644.000737,2066.964154,161.0001843,64.4000737
332,1978.356414,647.303941,2067.463389,161.8259853,64.7303941
334,1980.222411,650.543489,2067.950727,162.6358723,65.0543489
336,1982.039569,653.711405,2068.42498,163.4278513,65.3711405
338,1983.804089,656.801124,2068.885182,164.200281,65.6801124
340,1985.513128,659.807642,2069.330622,164.9519105,65.9807642
342,1987.164879,662.727645,2069.760858,165.6819113,66.2727645
344,1988.758641,665.559622,2070.175735,166.3899055,66.5559622
346,1990.294878,668.303948,2070.575401,167.075987,66.8303948
348,1991.775247,670.962938,2070.960314,167.7407345,67.0962938
350,1993.202613,673.540863,2071.331242,168.3852158,67.3540863
352,1994.580917,676.043715,2071.689232,169.0109288,67.6043715
354,1995.914675,678.478292,2072.035475,169.619573,67.8478292
356,1997.208771,680.851844,2072.371256,170.212961,68.0851844
358,1998.468319,683.171862,2072.697916,170.7929655,68.3171862
360,1999.698463,685.445773,2073.016802,171.3614433,68.5445773
362,2000.904115,687.680543,2073.329195,171.9201358,68.7680543
364,2002.089618,689.882164,2073.636231,172.470541,68.9882164
366,2003.25833,692.055014,2073.938783,173.0137535,69.2055014
368,2004.412098,694.201069,2074.237338,173.5502673,69.4201069
370,2005.550637,696.318952,2074.531826,174.079738,69.6318952
372,2006.674536,698.406032,2074.822403,174.601508,69.8406032
374,2007.797872,700.469159,2075.112714,175.1172898,70.0469159
376,2008.947183,702.52431,2075.409611,175.6310775,70.252431
378,2010.157114,704.593371,2075.72203,176.1483428,70.4593371
380,2011.466849,706.701526,2076.060061,176.6753815,70.6701526
382,2012.917229,708.875158,2076.434199,177.2187895,70.8875158
384,2014.54848,711.140217,2076.854752,177.7850543,71.1140217
386,2016.398466,713.520982,2077.331389,178.3802455,71.3520982
388,2018.501401,716.039185,2077.872798,179.0097963,71.6039185
390,2020.886954,718.713417,2078.486456,179.6783543,71.8713417
392,2023.57969,721.558801,2079.178482,180.3897003,72.1558801
394,2026.598789,724.586875,2079.953561,181.1467188,72.4586875
396,2029.958002,727.805647,2080.814938,181.9514118,72.7805647
398,2033.665789,731.219788,2081.764458,182.804947,73.1219788
400,2037.725613,734.830942,2082.802642,183.7077355,73.4830942
402,2042.136345,738.638104,2083.928804,184.659526,73.8638104
404,2046.892746,742.638052,2085.141181,185.659513,74.2638052
406,2051.986007,746.825803,2086.437081,186.7064508,74.6825803
